1,1.5,2,2.5,预测,真实
16.6972111554,4191.0,151.0,296.0,1403.82507324,1187.0
9.8875,2373.0,34.0,566.0,4302.75976562,2346.0
16.3888888889,4425.0,1.0,1009.0,6713.25683594,7087.0
3.38392857143,379.0,503.0,623.0,1206.15722656,1055.0
3.06569343066,840.0,148.0,182.0,506.738311768,304.0
21.4,3210.0,1598.0,2364.0,6861.39355469,10185.0
14.3126550868,5768.0,3469.0,3733.0,4518.61914062,4422.0
2.61458333333,251.0,568.0,577.0,869.890380859,696.0
12.3650793651,3895.0,50.0,97.0,815.283874512,904.0
14.953271028,9600.0,44.0,833.0,4231.80859375,3269.0
60.4333333333,9065.0,17869.0,18431.0,20663.7070312,44212.0
9.22044088176,4601.0,564.0,843.0,1892.27502441,1536.0
43.9586523737,28705.0,127.0,415.0,2497.0612793,2602.0
13.0615384615,1698.0,711.0,1074.0,3378.40527344,4148.0
38.7314487633,10961.0,45.0,183.0,1601.21826172,738.0
12.3412017167,5751.0,329.0,643.0,2751.81079102,3391.0
21.5921375921,8788.0,295.0,1142.0,6196.00195312,4153.0
15.4554707379,6074.0,6.0,16.0,461.570861816,108.0
13.0333333333,1955.0,992.0,1401.0,4363.51855469,3987.0
1.92380952381,202.0,431.0,503.0,1026.24169922,752.0
2.17370892019,463.0,142.0,210.0,776.195007324,550.0
3.59722222222,518.0,1657.0,1663.0,1785.28674316,1736.0
3.15333333333,473.0,2312.0,2732.0,8405.03417969,9381.0
18.4719101124,4932.0,111.0,221.0,1110.88037109,497.0
29.9264705882,6105.0,237.0,417.0,1285.28503418,490.0
5.87,587.0,1259.0,1498.0,2576.79443359,2362.0
3.45381526104,860.0,251.0,414.0,1388.37548828,1622.0
2.72307692308,177.0,222.0,240.0,609.241271973,293.0
43.0735294118,5858.0,4.0,490.0,5053.2109375,5001.0
4.53164556962,358.0,340.0,389.0,939.096130371,723.0
29.1531531532,6472.0,2.0,153.0,7498.66992188,10361.0
10.7476125512,7878.0,826.0,892.0,1469.90087891,1066.0
3.10616438356,907.0,1093.0,1315.0,2265.58203125,2081.0
21.7593984962,2894.0,148.0,322.0,2749.59350586,3771.0
7.32718120805,4367.0,618.0,660.0,1163.15979004,848.0
2.96629213483,792.0,436.0,506.0,1221.91210938,920.0
17.632996633,5237.0,48.0,106.0,801.40447998,2556.0
4.47756410256,1397.0,2694.0,2978.0,3893.99365234,3802.0
48.4339622642,2567.0,238.0,730.0,3536.57495117,2193.0
17.0288065844,4138.0,434.0,605.0,1611.88513184,1913.0
2.94833948339,799.0,647.0,935.0,2289.69018555,2383.0
14.7076923077,4780.0,327.0,412.0,1147.26647949,790.0
31.5609756098,1294.0,209.0,312.0,1484.45324707,728.0
34.5353535354,3419.0,72.0,158.0,1506.82092285,809.0
28.8866666667,4333.0,7684.0,7866.0,8453.24023438,8254.0
48.397260274,3533.0,282.0,624.0,2956.6081543,2005.0
25.0869565217,8078.0,1039.0,1059.0,1526.08911133,1141.0
13.8365180467,6517.0,0.0,0.0,1243.94494629,1334.0
2.69758064516,669.0,214.0,279.0,816.503356934,609.0
24.3257731959,11798.0,819.0,1102.0,2036.68432617,1518.0
2.65384615385,138.0,832.0,958.0,1443.96057129,1107.0
2.2397260274,327.0,637.0,814.0,1431.28967285,1181.0
18.7037037037,5050.0,186.0,458.0,2332.0300293,2044.0
43.0602409639,3574.0,16.0,19.0,861.967224121,3855.0
8.04651162791,346.0,482.0,734.0,1806.34313965,1198.0
2.87878787879,570.0,853.0,1016.0,2127.60131836,1827.0
41.0714285714,5175.0,40.0,77.0,1021.86407471,192.0
1.35507246377,187.0,67.0,89.0,466.383666992,138.0
